ca_buffer,num_spikes,sag_fit_amplitude,reb_delta_t,log_doublet_index_by_num_spikes,dVdt_pct_APamp_last_spike__20__rising,delta_thresh_last_spike,
EGTA,3,-2.38,32.53,1.83,229.23,1.16,
EGTA,4,-2.47,32.3,1.57,234.56,1.3,
EGTA,5,-2.42,32.56,1.33,220.07,1.96,
EGTA,6,-2.51,32.21,1.16,216.11,2.42,
EGTA,7,-2.54,31.79,1.03,213.77,2.83,
EGTA,8,-2.65,31.47,0.96,211.66,3.31,
Fluo5,3,-2.12,34.87,1.68,226.52,0.83,
Fluo5,4,-2.13,35.37,1.38,217.77,1.38,
Fluo5,5,-2.21,34.58,1.18,208.95,1.99,
Fluo5,6,-2.29,34.97,1.04,200.73,2.62,
Fluo5,7,-2.39,32.97,0.99,205.25,2.93,
Fluo5,8,-2.55,31.51,1,196.18,3.32,
